Person,heart_total_minutes
A01,6112
A02,3778
A03,3806
A04,7633
A05,953
A06,3028
A07,4282
A08,11327
A010,2819
A016,5841
A017,7329
A018,4521
A019,9907
A020,20305
A021,2312
A022,2071
A024,3286
A025,8365
A026,4004
A027,9927
A028,7741
A029,4594
A030,2822
A031,1764
A032,12120
A033,3948
A034,14811
A035,6265
A036,2203
A037,4852
A038,7973
A039,5159
A040,3411
A041,1884
A042,6216
A043,3521
A044,6520
A045,9031
A047,7392
A048,3449
A049,1756
A050,4547
A052,11327
A053,2774
A054,8530
A056,3582
A058,2643
A059,2625
A060,3595
A061,1962
A062,2797
A063,3948
A065,9927
A068,9100
A071,1842
A072,2679
A073,3449
A080,4852
A081,4206
A083,9907
A084,4716
A092,3326
A093,4114
A094,4180
A096,1962
A097,3359
